x,y,Var1,Var2
6834.8,6210.6,-0.35,-0.04145
7254.0,5783.6,2.12626,-1.225
7426.8,5726.5,-1.27355,-0.27344
7179.9,5715.6,0.75417,-0.65625
7531.6,6347.3,0.0125,1.3125
7239.9,6476.9,0.0625,1.19219
6425.8,6220.5,-1.25983,-0.30625
6991.8,5820.6,-0.45311,-0.29531
7541.0,5887.8,0.125,0.23254
7068.1,6489.5,0.41806,-0.33906
6812.3,6132.1,-1.28864,-0.15481
7097.3,6124.7,0.94584,-0.15481
6778.9,6360.6,-1.13408,0.05966
7426.9,5668.3,-1.26621,0.38438
6402.6,6306.6,-0.35,-0.74375
6914.1,6501.5,0.58334,0.79375
6796.6,6315.9,-1.93952,-0.30625
7979.6,6159.2,-0.93955,-0.48125
7667.0,5978.1,-1.07025,2.12917
7296.3,6372.4,0.9,-0.24659
7527.7,5956.5,0.96765,-0.56875
7730.9,6169.7,-0.07,0.31703
7532.1,6582.9,0.05,0.88229
7540.9,6696.6,0.2125,1.29063
6254.8,6847.0,-0.175,0.42656
6878.2,6706.6,-0.0525,1.81563
6289.3,6871.7,-0.69601,0.85625
7166.4,6650.1,-0.0525,1.45833
6998.4,6745.0,0.15,2.15834
6957.7,6392.3,0.2,1.77188
7824.6,6286.3,-1.04052,-0.65625
6496.5,6249.2,-0.6125,0.10726
8210.1,5800.1,-0.98033,-1.1375
6688.9,6300.2,-1.30939,-0.50313
6848.1,6785.8,-0.13125,1.4875
7551.9,6545.5,0.075,1.25781
7505.1,5848.8,-1.46996,1.24688
7488.1,6385.2,0.0,2.07813
6658.1,6056.4,-1.97346,-0.2625
7561.5,6784.0,-0.15313,0.41875
6019.9,6877.2,-0.50467,1.3125
7657.8,6263.2,-1.33959,-0.24659
7552.3,6813.8,-1.12068,-0.13462
7217.6,6236.3,0.94584,-0.375
7395.7,6702.9,-0.0175,1.70625
6403.7,6315.6,-0.35,-0.56875
7658.2,6386.2,-0.97537,0.44971
7526.1,6624.3,0.1625,1.5575
7364.3,6367.5,0.025,0.75662
7371.4,6318.0,-0.2625,0.46802
7916.8,6353.1,-0.6978,-0.02763
7242.2,6325.3,1.01912,-0.4125
7134.0,6273.0,0.75417,-0.74375
6859.2,6100.1,-0.0875,0.02386
7867.4,5866.4,-0.30625,0.22638
7705.7,5809.1,1.88126,-0.29531
6490.3,6846.3,-0.0525,0.46802
7120.3,6068.0,1.90751,-0.425
8177.9,5772.0,-0.93517,-0.4
6213.6,6439.8,-1.08672,1.95417
7148.3,6299.4,0.77084,-0.375
7608.3,5822.5,-2.49121,2.39167
6770.1,6573.9,-0.0175,0.81875
8217.8,5781.7,-0.7875,-1.1375
7868.0,6104.9,-0.88236,0.21816
7255.6,6381.5,1.09861,-0.65625
6457.7,6296.6,-0.35,-0.4125
6890.9,6747.0,0.46932,1.29063
7030.4,6745.3,-0.0175,1.86667
6528.3,6437.1,-0.89414,0.70515
7910.1,6182.3,-0.7,0.03977
7458.3,5779.5,-1.59853,-0.28438
6276.6,6304.6,-0.6396,0.52802
7310.8,5726.3,1.18417,-0.30625
7563.3,5822.7,0.0625,0.89688
6518.0,6675.0,-1.97207,-1.05
7600.7,5652.8,-2.30316,0.52297
6391.8,6431.6,-0.46177,0.62083
7898.1,6104.8,-0.68631,-0.09423
7575.3,6030.9,1.71023,0.01193
7155.4,6312.6,0.2625,-0.9625
6859.8,6159.0,-1.52521,-0.18295
6949.8,6800.0,0.1375,1.6625
6487.6,6782.2,-1.225,0.3625
7059.8,6250.7,0.65139,-0.54688
6594.1,6560.4,-0.10938,0.48227
7337.2,5934.4,1.09861,-0.10096
7725.6,6713.9,0.3,1.09375
7162.4,6756.1,0.0875,1.95417
7108.3,6714.5,0.3125,1.23594
6615.1,6616.8,0.51705,0.27885
6388.9,6818.3,-2.98379,1.77188
6628.6,6311.6,-1.8427,-0.425
7312.3,6438.0,0.50114,0.68333
6043.7,6835.4,-0.68526,2.20938
6942.5,6730.5,0.125,1.79375
7530.9,6193.2,-1.26712,0.13548
7101.9,6650.1,0.25,1.26875
7442.3,6754.0,-1.05859,-0.0875
7474.3,6453.6,-0.07,1.47292
7182.6,6592.1,1.06945,0.37188
6930.4,6804.2,0.0625,1.61
7441.6,5982.8,1.21334,-0.7
6944.1,6126.0,1.08889,0.32397
7194.9,5648.5,-0.2625,0.0517
7200.3,6364.9,0.7,-0.29531
7051.9,6257.7,1.13264,-0.74375
6447.3,6426.6,-2.5671,0.77206
6547.8,6367.8,-0.2625,0.15806
6680.9,6839.9,-1.225,-0.21477
7510.9,5862.0,0.48523,0.38906
6170.3,6793.0,-1.64039,-0.11442
6073.8,6694.2,-0.20417,0.84375
6876.8,6608.5,0.15,1.015
6834.1,6525.6,0.15,1.86667
6629.6,6513.0,-1.27065,0.1935
7563.7,6125.3,-0.89992,-0.59063
7643.6,6648.4,0.0875,1.26875
7907.3,6653.6,-0.32813,-1.4
7850.4,6535.1,-0.98662,-1.9682
7899.7,6487.7,-1.13196,-1.95839
7428.9,6216.6,-1.37032,0.10444
7264.0,6702.1,-0.07,1.26875
7705.3,6415.7,-0.6181,0.16371
6715.3,6182.4,-1.45421,-0.33906
6512.0,6219.3,-0.51191,-0.07368
7662.4,5934.0,-0.35,0.04375
7300.9,5973.2,-0.46112,0.18939
8233.3,5744.8,-0.90447,-1.3125
6309.6,6712.3,-0.525,0.46599
6564.3,6502.4,-0.89999,2.05625
6520.1,6272.2,-0.6125,0.11573
6442.6,6279.6,-1.95047,-0.19091
7863.7,6381.9,-1.13199,-0.7875
7464.9,6361.1,-0.0875,1.15938
7021.3,6601.4,0.6757,0.51483
7126.1,6664.6,-0.0875,1.41458
8030.8,5897.8,-0.7,0.0517
6694.9,6527.8,-0.23333,1.04125
7293.3,6407.3,0.51705,0.53104
7883.1,6104.8,-0.65114,0.15242
6974.2,6419.8,0.5775,1.0675
7140.4,6312.2,0.82688,-0.875
7299.3,6247.3,-0.0875,-0.56875
7590.8,6842.0,-0.30625,-0.19091
7085.6,6389.9,-0.0875,-0.32813
7927.8,6053.3,-0.83742,-0.13462
6502.9,6630.6,-0.80584,2.07813
6473.0,6646.8,-0.88101,0.2667
7646.0,5887.4,2.26528,-0.59063
7295.9,6563.3,0.1375,0.44361
7639.2,6468.7,-0.498,1.15938
6426.1,6832.4,-1.02415,1.1025
6611.0,6655.3,-0.35,2.15834
7553.5,6748.9,0.125,1.70625
6416.4,6422.9,-0.80967,0.72574
6518.9,6624.5,-0.35,1.27969
7951.6,5898.1,-0.6818,0.05568
6976.2,6174.2,0.66597,-0.04605
6413.4,6363.1,-1.29526,0.24487
7507.6,6130.7,-0.80988,-0.32813
7762.1,6349.7,-1.1076,0.05568
7268.7,6183.3,-1.09399,1.41458
7004.7,6334.4,0.40833,0.75662
7705.0,6208.8,-0.07,0.18939
7969.6,6030.6,-1.10883,-0.7
6503.8,6596.7,-0.82073,1.81563
7600.6,6745.0,0.225,0.84375
7485.8,6412.9,0.0125,1.19219
7310.9,5668.1,-0.23333,-1.05
6337.0,6548.1,-0.15313,1.54
7209.7,6249.1,0.775,-0.54688
7402.8,6035.5,-0.51105,-0.0875
7653.3,5848.3,2.29251,-0.31719
7660.8,6787.0,-0.23333,0.49448
7852.1,5873.0,-0.35,0.09032
7615.4,5688.4,-0.89015,1.015
6166.3,6835.2,-1.98849,-0.09423
7339.8,5707.0,0.35972,-0.12788
6371.9,6570.4,0.2375,1.20313
6832.1,6857.3,-0.0525,0.8125
6518.8,6857.1,-0.10938,1.07625
7178.3,6300.2,0.66597,-0.48125
6316.9,6321.3,-0.4375,-0.12115
7289.0,6869.2,0.0375,1.68438
6486.1,6400.3,-1.225,0.21405
7116.6,6412.0,0.40833,-1.05
7048.9,6605.6,1.94251,0.20994
6912.3,6062.7,-1.79589,-0.425
6486.8,6808.2,-0.35,1.645
7450.5,6714.2,0.2625,0.94063
6606.1,6550.7,-0.94991,0.14677
7513.8,5726.7,-1.77635,0.18117
6391.8,6765.1,0.0875,0.69583
7763.6,5989.9,0.82688,0.05568
7067.3,6093.4,0.50114,0.67083
7180.4,6529.4,0.54833,1.18125
6598.1,6394.0,-1.09935,0.31529
6541.6,6325.0,-0.90381,0.35625
7541.7,6316.8,-2.30547,1.5225
6297.1,6486.6,-0.93855,1.70625
7910.8,6474.0,-1.02104,-1.65569
7248.0,6573.0,0.35,1.44375
7931.6,6627.8,-0.49515,-0.29531
8039.3,5712.3,-0.7,-0.48125
6556.0,6246.6,-1.61021,-0.32813
7383.3,5736.1,-0.30625,-0.04605
7489.0,6582.9,0.075,0.91146
7959.6,6285.4,-1.58789,-0.18295
7811.3,6233.7,-0.7,0.0875
7674.5,5952.1,0.0625,0.57328
7389.7,6401.5,-0.0525,0.8625
6935.0,6462.2,0.1625,1.1375
7671.3,6469.9,-0.97734,-0.04145
7733.1,6434.1,-0.67385,0.73603
6864.1,6714.2,0.1,1.47292
7474.0,6551.1,0.3125,1.05
7088.1,5989.7,0.44546,0.58535
7487.1,6299.7,-0.6125,1.5575
7165.3,6537.5,-0.13125,1.12875
7303.3,6785.4,-0.65887,0.00398
6949.9,6406.4,-0.07,1.54
7501.6,6263.7,-0.45379,1.42917
6286.6,6269.5,-0.6792,0.01989
6386.3,6127.7,-2.17322,0.16371
8268.3,5782.3,-0.84138,-1.1375
6589.0,6336.7,-1.25219,-0.21477
7280.6,5923.7,0.2625,0.09315
7779.1,5965.7,-0.91037,-0.11442
7144.3,6428.4,0.15,-0.29531
7057.9,6214.9,0.66111,-0.09423
6105.1,6759.1,-0.85553,0.41563
7700.9,6748.5,0.38889,1.5575
7652.0,6030.1,-1.03276,1.3125
7991.1,5875.1,-0.7,-0.07368
7485.3,6730.5,0.3375,0.72059
6726.8,6819.0,-0.525,0.19966
7571.8,5707.4,-1.225,0.23665
7584.6,6424.9,-1.12902,1.47292
6250.4,6498.2,-0.15313,0.94063
7875.8,6558.1,-1.10844,-1.68976
6486.1,6247.8,-0.65456,-0.175
7373.0,6440.4,0.125,1.26875
6900.8,6075.1,-2.40817,-0.525
6916.6,6319.0,0.1,0.8625
6864.4,6422.7,0.47727,0.50058
7586.1,5762.2,0.0125,0.65833
6956.8,6869.0,0.0875,1.8375
7405.9,6241.6,-1.02508,1.24688
6894.1,6244.5,-2.32169,0.43281
7066.9,6814.9,0.3375,1.6625
7289.3,6013.0,-1.61007,0.0875
7498.4,6717.3,0.38889,0.92604
7852.8,6260.8,-1.47731,0.57931
7554.3,6363.2,-0.10938,1.23594
7539.5,6043.1,2.14376,-0.54688
6426.8,6806.4,-0.82743,1.20313
6566.6,6620.0,-0.8356,0.44564
6934.4,6434.5,-0.15313,1.44375
6132.3,6694.9,-0.2625,1.085
7693.0,6228.0,-0.90065,-0.23068
6442.2,6334.2,-1.94641,-0.83125
6871.1,6198.2,-0.50087,-0.00921
7298.6,6058.3,-2.85808,-0.29531
6465.5,6267.3,-1.27034,-0.12115
7980.2,6237.8,-1.27741,0.03182
7104.0,5810.5,0.025,0.22227
7952.9,5794.9,-0.64557,0.37656
7270.4,6461.5,0.15,1.12
6361.5,6513.4,0.0375,1.41458
7480.9,6858.3,-0.35,0.03182
7294.3,6702.9,-0.6408,-0.65625
7582.8,6806.8,-0.61475,-0.03684
6361.4,6161.0,-1.28254,-0.05066
7451.2,6535.1,0.175,0.72059
7825.9,5989.9,-1.63745,0.23254
6163.1,6704.0,-0.23333,1.3625
7377.6,6334.5,0.2,1.0675
7954.6,6208.4,-0.7875,-0.05526
7946.1,6168.8,-1.09017,-0.23864
6553.8,6410.7,-0.30625,0.65417
7452.3,6613.8,-0.13125,1.04125
7288.8,6299.2,0.80938,-0.35
7812.5,6505.5,-2.16038,-1.225
7488.0,5955.0,0.075,-1.225
6516.6,6726.0,-1.0467,0.59741
7209.3,6812.6,-0.035,1.6275
7825.9,5973.8,-1.37508,0.31703
7372.4,6233.9,-1.52388,2.23125
7623.0,5770.5,-1.51144,1.25781
6930.4,5974.4,-2.25636,0.07557
7689.3,6415.1,-1.93994,0.28753
7526.9,6402.6,-0.30625,0.89688
7653.0,5770.3,-1.28851,0.38281
7859.6,5963.4,-0.6228,0.57328
7154.1,5837.5,1.29375,-1.3125
6235.6,6826.8,-0.2625,0.34653
7129.4,5836.9,1.3125,-0.7
6497.8,6661.4,-1.44758,0.1129
7507.1,6333.7,0.0375,1.1025
7337.6,5882.4,0.65625,-0.65625
6415.7,6728.7,-1.24491,0.0
6921.0,6002.5,-0.49089,0.14395
7302.2,5840.6,1.09375,-1.3125
6128.8,6621.5,-0.2625,1.225
7634.6,6679.2,-0.20417,2.42084
7088.4,6851.9,0.1375,1.81563
7055.8,6702.9,0.125,2.07813
7478.5,6611.6,0.1125,1.225
6293.1,6318.6,-0.20417,0.4782
7735.9,5861.0,1.46058,-0.10096
7192.2,6867.9,-1.08686,1.98334
7414.8,6490.2,0.37917,1.79375
6204.8,6430.6,-0.175,1.6625
6641.9,6711.5,-0.13125,1.4
7884.0,6394.7,-0.93645,-1.05
6570.9,6205.7,-2.31684,-0.9625
7455.9,6479.9,0.2,1.12
7621.2,6523.5,-0.46005,2.68334
6027.2,6752.1,-0.2625,0.33091
6650.2,6697.7,-0.15313,1.8375
6938.4,6561.5,0.53083,1.0325
7586.3,5664.8,-1.65034,0.26497
6881.8,6480.6,0.225,1.75
7076.1,6481.3,0.2375,-0.74375
7689.5,5991.1,-1.45444,2.15834
7227.8,6381.2,0.65139,-0.56875
7654.1,6337.1,-1.45192,0.42188
6892.1,6101.0,0.0375,0.88229
6011.7,6835.5,-0.7,0.72574
6737.6,6275.4,-1.24872,-0.28438
6335.3,6371.7,-0.6125,0.70515
7565.6,6609.2,0.1,1.505
7628.6,6562.2,-0.2625,2.05625
7442.4,6036.9,0.37917,0.28232
6455.0,6300.7,-1.77203,-0.83125
7594.8,6316.6,-0.7,1.05875
7042.6,6322.5,0.8575,0.09879
